MeetingID,Start,End,Title,Description,RoomID,IsAllDay,Recurrence
2,2013-06-10T12:00:00,2013-06-10T14:00:00,Meeting with customers.,,1,False,
3,2013-06-10T12:00:00,2013-06-10T14:00:00,Guided tour for the investors.,,2,False,
4,2013-06-12T03:00:00,2013-06-12T03:00:00,Product planning,,1,True,
5,2013-06-14T12:00:00,2013-06-14T15:00:00,Acquisition discussion,,1,False,
7,2013-06-28T10:00:00,2013-06-28T11:30:00,Job Interview - Mathew Stevens,Junior Researcher,1,False,
8,2013-06-24T14:00:00,2013-06-24T15:30:00,Job Interview - Mary Smith,Accountant,1,False,
9,2013-06-25T10:30:00,2013-06-25T12:00:00,Job Interview - John Stewart,Accountant,2,False,
10,2013-06-25T16:00:00,2013-06-25T17:30:00,Job Interview - Laura Bailey,Helpdesk,1,False,
11,2013-06-27T09:00:00,2013-06-27T10:30:00,Job Interview - Jenny Baxter,Helpdesk,1,False,
12,2013-06-26T15:00:00,2013-06-26T16:30:00, Job Interview - Bernard Atkins,Helpdesk,2,False,
13,2013-06-05T09:00:00,2013-06-05T11:00:00,Marketing Meeting,,2,False,
14,2013-06-26T09:30:00,2013-06-26T10:30:00,Phone Sync with NY Office,,1,False,
15,2013-06-26T14:30:00,2013-06-26T15:30:00,Phone Sync with Boston Office,,1,False,
16,2013-06-26T13:00:00,2013-06-26T13:30:00,Short HR Presentation,,2,False,
17,2013-06-25T13:00:00,2013-06-25T14:30:00,Discuss new website designs,,1,False,
18,2013-06-04T17:00:00,2013-06-04T18:30:00,Status Meeting,,2,False,
19,2013-06-13T09:00:00,2013-06-13T17:00:00,Evaluations,,2,False,
20,2013-06-03T10:00:00,2013-06-03T11:30:00,Job Interview - Bobby Rooney,Helpdesk,1,False,
21,2013-06-06T15:00:00,2013-06-06T16:30:00,Weekly support meeting,,2,False,FREQ=WEEKLY;BYDAY=TH
22,2013-06-28T14:00:00,2013-06-28T16:00:00,Performance review,,2,False,
23,2013-06-21T11:00:00,2013-06-21T11:30:00,External call,,2,False,
24,2013-06-17T02:00:00,2013-06-17T03:00:00,Job Interview - Larry Thompson,Researcher,2,False,
25,2013-06-11T00:00:00,2013-06-11T00:00:00,Marketing meetings,,1,True,
26,2013-06-11T13:30:00,2013-06-11T14:30:00,External Call,,2,False,
27,2013-06-19T16:00:00,2013-06-19T17:30:00,Monthly sales meeting,,2,False,FREQ=MONTHLY;BYMONTHDAY=19
28,2013-06-17T09:30:00,2013-06-17T10:30:00,External phone call,,1,False,
29,2013-06-03T16:00:00,2013-06-03T17:00:00,Weekly tasks list update,,2,False,FREQ=WEEKLY;BYDAY=MO
30,2013-06-03T13:00:00,2013-06-03T14:30:00,HR seminar planning,,2,False,
31,2013-06-04T14:00:00,2013-06-04T15:00:00,Sales phone call,,2,False,
32,2013-06-04T10:00:00,2013-06-04T11:00:00,Support phone call,,1,False,
33,2013-06-05T14:00:00,2013-06-05T15:00:00,Meeting with Admin team,,1,False,
34,2013-06-05T14:30:00,2013-06-05T16:30:00,Website review meeting,,2,False,
35,2013-06-05T17:00:00,2013-06-05T18:00:00,Planning - software updates,,2,False,
36,2013-06-06T00:00:00,2013-06-06T00:00:00,General Medical Examinations,,1,True,
37,2013-06-06T00:00:00,2013-06-06T00:00:00,General Medical Examinations,,2,True,
38,2013-06-20T00:00:00,2013-06-20T00:00:00,Medical Examination - results,,1,True,
