TaskID,Start,End,Title,Description,OwnerID,IsAllDay,RecurrenceRule,RecurrenceID,RecurrenceException
4,2013-06-09 21:00:00,2013-06-10 00:00:00,Bowling tournament,,2,False,,,
5,2013-06-10 07:00:00,2013-06-10 08:00:00,Take the dog to the vet,,2,False,,,
6,2013-06-11 11:30:00,2013-06-11 13:00:00,Call Charlie about the project,,2,False,,,
7,2013-06-12 11:00:00,2013-06-12 12:00:00,Meeting with Alex,,3,False,,,
9,2013-06-14 02:00:00,2013-06-14 02:00:00,Alex's Birthday,,2,True,,,
12,2013-06-24 08:30:00,2013-06-24 09:30:00,Car Service,Might come to work later!,2,False,,,
14,2013-06-24 10:00:00,2013-06-24 11:00:00,Replace the printer on the 1st floor,,3,False,,,
15,2013-06-25 00:00:00,2013-06-26 00:00:00,Attending HR Conference,,1,True,,,
16,2013-06-25 12:00:00,2013-06-25 13:00:00,Business Lunch with Gregory Watkins,,1,False,,,
17,2013-06-27 08:30:00,2013-06-27 09:30:00,Breakfast with CFO and COO,,1,False,,,
18,2013-06-27 10:00:00,2013-06-27 11:00:00,Job Interview - Mathew Stevens,Junior Researcher,1,False,,,
19,2013-06-27 11:00:00,2013-06-27 11:30:00,Review CVs with Tim,,1,False,,,
20,2013-06-27 12:00:00,2013-06-27 13:30:00,Lunch with Monica,Discuss the Employee handbook,1,False,,,
21,2013-06-27 14:00:00,2013-06-27 15:00:00,Job Interview - John Stewart,Accountant,1,False,,,
22,2013-06-27 15:30:00,2013-06-27 16:30:00,Job Interview - Mary Smith,Accountant,1,False,,,
24,2013-06-24 12:00:00,2013-06-24 12:30:00,Register new Access Cards,,3,False,,,
25,2013-06-04 19:00:00,2013-06-04 21:00:00,HR Lecture,,1,False,FREQ=WEEKLY;BYDAY=TU,TH,,
26,2013-06-28 08:00:00,2013-06-28 09:00:00,Dentist,,1,False,,,
27,2013-06-28 09:30:00,2013-06-28 10:30:00,Job Interview - Laura Bailey,Helpdesk,1,False,,,
28,2013-06-28 11:00:00,2013-06-28 12:00:00,Job Interview - Jenny Baxter,Helpdesk,1,False,,,
31,2013-06-28 14:00:00,2013-06-28 17:00:00,Team building prep tasks,,1,False,,,
32,2013-06-24 13:30:00,2013-06-24 14:30:00,Job Interview - Bernard Atkins,Helpdesk,1,False,,,
34,2013-06-24 15:00:00,2013-06-24 17:30:00,Review Job Applications,,1,False,,,
35,2013-06-23 00:00:00,2013-06-23 00:00:00,Grand Canyon tour,,1,True,,,
40,2013-06-24 13:30:00,2013-06-24 18:00:00,Install new laptops in conference rooms,,3,False,,,
66,2013-06-29 08:00:00,2013-06-29 06:00:00,Bob's Birthday,,3,True,,,
68,2013-06-24 08:30:00,2013-06-24 09:00:00,Breakfast with Tom,,1,False,,,
69,2013-06-24 10:00:00,2013-06-24 12:00:00,Team planning meeting,,2,False,,,
70,2013-06-24 16:00:00,2013-06-24 16:30:00,Support Phone Call,,2,False,,,
71,2013-06-25 09:00:00,2013-06-25 10:00:00,Business breakfast with Caroline,,2,False,,,
72,2013-06-25 11:00:00,2013-06-25 11:30:00,Discuss preojects' deadlines,,2,False,,,
73,2013-06-25 15:00:00,2013-06-25 16:00:00,Support Meeting,,2,False,,,
74,2013-06-25 18:30:00,2013-06-25 20:00:00,Dine with Mathew,,2,False,,,
79,2013-06-26 09:00:00,2013-06-26 10:00:00,Banking,,2,False,,,
80,2013-06-25 10:00:00,2013-06-25 12:00:00,Software updates,,3,False,,,
81,2013-06-25 16:30:00,2013-06-25 18:00:00,UPS maintenance,,3,False,,,
82,2013-06-26 11:30:00,2013-06-26 12:00:00,Support Call,,2,False,,,
83,2013-06-26 13:30:00,2013-06-26 14:30:00,Phone Sync with NY office ,,3,False,,,
84,2013-06-26 15:00:00,2013-06-26 16:00:00,Phone Sync with Boston Office,,3,False,,,
85,2013-06-26 18:30:00,2013-06-26 21:30:00,Server maintenance,,3,False,,,
86,2013-06-28 13:30:00,2013-06-28 15:30:00,Status meeting,,2,False,,,
87,2013-06-27 10:30:00,2013-06-27 11:30:00,Helpdesk status meeting,,3,False,,,
88,2013-06-27 12:00:00,2013-06-27 13:00:00,Business Lunch,,2,False,,,
89,2013-06-27 14:00:00,2013-06-27 15:30:00,Employee database update,,3,False,,,
90,2013-06-27 07:30:00,2013-06-27 08:30:00,Website upload,,3,False,,,
91,2013-06-27 17:00:00,2013-06-27 18:30:00,Meeting with marketing guys,,2,False,,,
92,2013-06-28 10:30:00,2013-06-28 11:30:00,Meeting with Internet provider,,3,False,,,
93,2013-06-29 20:00:00,2013-06-29 23:30:00,Bob's Birthday Party,,3,False,,,
95,2013-06-03 18:30:00,2013-06-03 20:00:00,Dance Practice,,2,False,FREQ=WEEKLY;BYDAY=MO,WE,,
114,2013-06-04 09:00:00,2013-06-04 12:00:00,Software updates,,3,False,,,
115,2013-06-04 08:00:00,2013-06-04 09:30:00,Breakfast at Starbucks,,1,False,,,
116,2013-06-04 14:00:00,2013-06-04 17:00:00,Performance review,,2,False,,,
118,2013-06-05 10:00:00,2013-06-05 12:00:00,HR seminar preparation,,1,False,,,
119,2013-06-05 15:00:00,2013-06-05 16:00:00,Helpdesk weekly meeting,,3,False,FREQ=WEEKLY;BYDAY=WE,,
120,2013-06-07 07:00:00,2013-06-07 08:30:00,Website upload,,3,False,,,
